"species","weight"
"OCHPRI",181
"OCHPRI",177
"OCHPRI",185
"OCHPRI",169
"OCHPRI",187
"OCHPRI",108
"OCHPRI",165
"OCHPRI",152
"OCHPRI",175
"OCHPRI",165
"OCHPRI",158
"OCHPRI",120
"OCHPRI",134
"OCHPRI",160
"OCHPRI",155
"OCHPRI",159
"OCHPRI",65
"OCHPRI",180
"OCHPRI",141
"OCHPRI",162
"OCHPRI",70
"OCHPRI",143
"OCHPRI",168
"OCHPRI",132
"OCHPRI",179
"OCHPRI",179
"OCHPRI",78
"OCHPRI",89
"OCHPRI",179
"OCHPRI",153
"OCHPRI",160
"OCHPRI",80
"OCHPRI",147
"OCHPRI",162
"OCHPRI",173
"OCHPRI",154
"OCHPRI",104
"OCHPRI",49
"OCHPRI",76
"OCHPRI",77
"OCHPRI",167
"PERMAN",21.5
"PERMAN",23
"PERMAN",27
"PERMAN",24
"PERMAN",19
"PERMAN",21.2
"OCHPRI",65
"OCHPRI",86
"OCHPRI",106
"OCHPRI",58
"MICLON",26
"OCHPRI",150
"OCHPRI",82
"CLEGAP",26
"OCHPRI",78
"OCHPRI",76
"OCHPRI",143
"OCHPRI",165
"OCHPRI",166
"OCHPRI",170
"OCHPRI",159
"OCHPRI",114
"OCHPRI",144
"OCHPRI",160
"OCHPRI",156
"OCHPRI",160
"OCHPRI",166
"OCHPRI",129
"OCHPRI",146
"OCHPRI",165
"OCHPRI",171
"OCHPRI",178
"OCHPRI",134
"OCHPRI",145
"OCHPRI",172
"OCHPRI",150
"OCHPRI",115
"OCHPRI",112
"OCHPRI",136
"OCHPRI",162
"OCHPRI",155
"OCHPRI",116
"OCHPRI",159
"OCHPRI",110
"OCHPRI",127
"OCHPRI",130
"MICLON",33
"OCHPRI",92
"OCHPRI",134
"OCHPRI",162
"MICLON",38
"MICLON",32
"MICLON",14.5
"MICLON",38
"MICLON",28
"MICLON",25
"MICLON",29.9
"MICLON",41
"MICLON",38
"MICLON",40.5
"MICLON",36
"OCHPRI",143
"OCHPRI",145
"OCHPRI",124
"OCHPRI",81
"OCHPRI",143
"OCHPRI",140
"OCHPRI",176
"OCHPRI",158
"PERMAN",25.8
"PERMAN",20.7
"PERMAN",13.4
"PERMAN",23.4
"PERMAN",22.4
"PERMAN",24.5
"EUTMIN",35.5
"MICLON",13.2
"OCHPRI",138
"OCHPRI",140
"OCHPRI",144
"OCHPRI",128
"OCHPRI",137
"OCHPRI",165
"PERMAN",9.3
"PERMAN",13
"PERMAN",22.8
"PERMAN",17.8
"PERMAN",23
"PERMAN",18.9
"PERMAN",21.6
"PERMAN",22.4
"PERMAN",18.1
"PERMAN",21.7
"PERMAN",19.9
"PERMAN",11.5
"MICLON",11.7
"MICLON",31
"OCHPRI",137
"OCHPRI",144
"PERMAN",19.6
"PERMAN",13.4
"PERMAN",24.1
"PERMAN",18.8
"PERMAN",14.7
"PERMAN",23.2
"PERMAN",20.8
"PERMAN",22.7
"PERMAN",18.2
"PERMAN",24.5
"PERMAN",11.7
"PERMAN",13.1
"OCHPRI",137
"OCHPRI",110
"OCHPRI",130
"PERMAN",20
"PERMAN",10.5
"PERMAN",9.6
"PERMAN",20.2
"PERMAN",21.5
"PERMAN",22.1
"PERMAN",12.4
"PERMAN",19.1
"PERMAN",20.7
"PERMAN",15
"PERMAN",17.8
"PERMAN",16.6
"PERMAN",23.8
"PERMAN",18
"PERMAN",15.7
