"species","weight"
"pmtr",28
"pmtr",31
"pmbo",30
"pmtr",28
"pmtr",26
"pmtr",28
"pmtr",26
"pmtr",32
"pmtr",33
"pmtr",29
"pmtr",29
"pmtr",25
"pmtr",28
"neal",130
"pmtr",28
"pmtr",36
"pmtr",31
"pmtr",28
"pmtr",33
"pmtr",34
"pmtr",31
"neal",167
"pmtr",25
"pmtr",33
"pmtr",28
"pmtr",36
"pmtr",31
"pmtr",36
"pmtr",28
"pmtr",27
"pmtr",30
"pmtr",32
"pmtr",32
"pmtr",34
"pmtr",29
"neal",74
"pmtr",34
"neal",170
"pmtr",21
"pmtr",30
"pmtr",39
"pmtr",31
"pmtr",30
"pmtr",31
"pmtr",29
"neal",94
"pmtr",36
"pmtr",27
"pmbo",31
"pmtr",29
"pmtr",30
"pmtr",26
"pmtr",26
"pmtr",24
"pmtr",31
"pmtr",26
"pmbo",29
"pgfv",9
"pmtr",24
"pmtr",28
"euqu",38
"euqu",35
"neal",148
"neal",76
"neal",89
"pmtr",30
"pmtr",26
"pmtr",28
"amin",51
"euqu",60
"pmtr",23.5
"pmbo",27
"pmtr",29
"pmtr",22
"pmtr",20
"pmtr",13
"pmtr",32
"neal",114
"neal",158
"pmtr",21
"pmtr",30
"chin",15
"chin",17
"pmtr",21
"pmtr",25
"pmtr",29
"pmtr",35
"euqu",74
"pmtr",30
"pmtr",25
"pmtr",26
"pmtr",27
"amin",80
"pmtr",23.7
"euqu",76.6
"pmtr",28
"pmtr",21
"pmtr",37
"pmtr",15
"pmdi",27
"pmtr",27
"pmtr",25
"pmtr",26
"neal",131
"pmtr",32
"pmtr",26
"pmtr",22.8
"neal",43
"neal",180
"pmtr",26
"pmtr",28
"neal",77
"pmtr",27
"pmdi",21
"pmdi",15
"neal",87
"pmbo",29
"pmbo",25
"pmtr",21
"pmtr",23
"pmbo",25
"pmtr",21
"pmtr",26
"pmtr",32
"euqu",58
"pmdi",25
"pmtr",25
"pmtr",22
"pmbo",25
"pmbo",18
"pmtr",29
"euqu",58
"pmtr",23
"pmtr",30
"pmtr",28
"pmtr",25
"neal",94
"pmtr",26
"neal",152
"pmbo",21
"pmtr",33
"pmbo",28
"pmbo",23
"neal",141
"pmtr",21
"pmtr",26
"pmtr",31
"pmbo",19
"pmtr",25
"pmbo",32
"neal",104
"neal",130
"pmbo",13
"pmbo",13
"neal",58
"neal",140
"pmtr",27
"neal",86
"pmtr",23
"pmdi",21
"neal",108
