"species","weight"
"remg",10
"dime",36
"dior",31
"pmtr",15
"onar",20
"dime",44
"dime",29
"dime",46
"onar",17
"dime",35
"dime",34
"dime",43
"dime",44
"onar",27
"dime",45
"disp",94
"onar",29
"remg",10
"pmle",10
"pgfv",5
"dime",42
"dime",38
"dime",37
"dime",49
"dime",35
"dime",36
"dime",44
"spsp",25
"dime",48
"dime",46
"pgfv",6
"dime",38
"dime",21
"spsp",21
"pgfv",8
"dime",38
"pgfv",7
"dime",40
"dime",43
"dime",28
"dime",40
"dime",48
"dime",47
"dime",41
"dime",43
"dior",56
"pgfv",7
"pmtr",36
"remg",14
"pgfv",6
"pgfv",6.5
"dime",42.5
"pmer",22
"dime",36
"dime",36.5
"pgfv",7
"pgfv",7.5
"pgfv",8.5
"pgfv",8
"dime",42
"dime",39
"pgfv",7.5
"remg",9
"dime",22.5
"pgfv",7
"dime",36
"onar",9
"spsp",100
"dime",43
"pmma",13
"pgfv",6
"dime",45
"pgfv",8
"dime",38
"dime",34.5
"dior",50
"dime",41
"remn",10
"pgfv",5
"remn",10
"remg",8
"onar",21.5
"pgfv",6
"pgfv",7
"dime",43
"remn",8.5
"pgfv",5
"pgfv",5
"dime",44
"pgfv",5
"dime",48.5
"dime",36
"dime",45
"pgfv",8
"remg",14
"onle",31
"dime",47
"dime",39.5
"dior",37
"dime",41
"remn",10
"pgfv",8
"onar",32
"dime",42
"dime",45
"dime",43
"dime",47
"dime",37
"dime",42
"remn",9.5
"dior",38
"dime",45
"pgfv",6
"remg",12
"remg",15
"remg",11.5
"remg",12
"remg",9
"pgfv",10
"dime",43
"pgfv",9
"dime",44
"dime",40
"dime",48
"dime",43
"pgfv",9
"dime",45
"onle",24
"remg",9
"dime",45
"dime",43
"dime",43
"pgfv",7
"spsp",81
"pgfv",7
"dime",43
"dime",47
"dime",44
"pgfv",10.5
"pgfv",8
"dime",49
"pgfv",10
"dime",45
"pgfv",10
"pgfv",7
"dime",42
"pgfv",11.5
"remg",14
"dime",38
"dime",40
"pmer",30
"remn",10
"dime",17
"dime",42
"pgfv",5
"pgfv",8
"pgfv",9
"pgfv",8.5
"pgfv",7.5
"onar",23.5
"remg",12
"onar",18
"pgfv",7.5
"dime",37
"dime",45
"pgfv",6.5
"dime",42
"dior",39
"remg",13
"remg",13
"pgfv",6.5
"dime",36
"pgfv",7
"dime",42
"dime",40
"pgfv",7
"remg",9
"dime",43
"dime",45
"remg",10
"pgfv",6
"dime",45
"neal",100
"dime",40
"dime",40
"dime",48
"dime",36
"pgfv",8
"pmle",16
"dime",44
"dime",33
"dime",31
"dime",51.5
"dime",47.5
"dime",48
"dime",38
"dime",45
"pmtr",32
"dime",49
"dime",43
"dime",35
"pmtr",30
"dime",41
"dime",25
"dime",39
"pmle",20
"dime",40
"pmle",19
"dime",47
"neal",100
"pmle",28
"dime",39
"dime",40
"dime",26
"pmle",22
"dime",36
"pmtr",28
"dime",35
"dime",36
"dime",22
"dime",40
"spsp",99
"dime",39
"dime",35
"dime",29.5
"dime",45
"pmle",18
"dime",37
"dime",43.5
"dime",42
"dime",38
"pgfv",6
"dime",45
"dime",40
"dime",42
"dime",43
"dime",45
"dime",30
"dime",33
"dime",35
"pmle",21
"pgfv",6
"dime",42
"dime",43
"dime",47
"dime",32
"pgfv",1
"pmle",24
"pmle",29
"dime",26
"dime",27
"dime",45
"dime",44
"dime",39
"pmtr",20
"pmle",14
"dime",37
"dime",40
"dime",43
"dime",34
"dime",44
"dime",36
"dime",41
"dime",38
"pgfv",7
"pmle",9
"pmle",24
"pmle",29
"dime",38.5
"dime",27
"pgfl",13
"pgfv",10
"dime",37
"dime",36.5
"dime",41
"pgfv",9
"remg",5
"dime",25
"amle",122
"dior",29
"pgfv",7.5
"dime",40
"pmle",13
"dime",30.5
"pmle",29
"dime",50
"pgfv",7
"dime",32
"pmle",25
"dime",48
"dime",48
"pmtr",25
"dime",34
"dime",34
"pmle",29
"dime",20
"pmle",28
"dime",29
"disp",90
"pmle",44
"neal",57
"pmle",26
"pmtr",23.5
"pmtr",23.5
"dime",43
"dime",47
"dime",37.5
"dime",40
"dime",51
"pmma",22
"pgfv",7.5
"dime",51
"pmtr",21
"pgfv",8
"dime",45
"dime",41
"pgfl",8
"pmle",29
"pgfv",9
"dime",50
"pmtr",16
"dime",26
"dime",34
"pgfv",8
"dime",38
"pgfv",9
"dime",43
"dime",50
"dime",38
"neal",88
"pgfv",6.5
"dime",38
"pmle",23
"dime",23
"pmtr",24
"pmtr",27
"pmtr",21
"pmtr",22
"dime",39
"dime",36
"pgfv",7
"pgfv",5
"pmle",19
"dime",37
"dime",37
"dime",28
"dime",44
"dime",38
"pgfv",7
"dime",33
"dime",43
"dime",42
"pmle",12
"pgfv",7
"pgfv",8
"dime",36
"dime",46
"dime",26
"pmle",12
"dime",44.5
"pgfv",7
"dime",51
"pgfl",7
"pmle",11
"pgfv",6
"neal",80
"dime",24
"dime",47
"pgfv",8
"remg",7
"remg",10
"pgfv",7
"pgfv",4
"dime",34
"dime",49
"pmtr",20
"pgfv",7.5
"dime",52
"dime",34
"dime",37
"pgfv",7.5
"dior",52
"pgfv",7
"dime",38
"dime",38
"pgfv",8
"dior",49
"dime",32
"dior",38
"pmle",21
"pmle",30
"dime",46
"dime",31
"dior",30
"pgfv",8
"pgfv",7
"pgfl",8.5
"pgfv",7
"dime",52
"dime",41
"neal",178
"pgfv",6
"dime",49
"dime",33
"pgfv",7
"dime",50
"dime",25
"pgfv",9
"dior",38
"dime",37
"dime",42
"pmle",26.5
"pmle",27
"neal",176
"dime",51
"dime",34
"pgfv",6.5
"pmtr",24
"dime",34.5
"dime",32
"pgfv",8
"neal",177
"dime",33
"onar",23
"dime",36.5
"pmma",29.5
"dime",36
"dime",50
"pmdi",22
"pgfv",9
"dime",50
"dime",44
"dime",47
"pmle",32
"dime",30
"dime",50
"dime",44
"pmle",26
"dior",50
"dime",39
"dime",35
"pmdi",22
"dime",45
"onar",24
"dime",46
"pgfv",7
"pmle",24
"dime",35.8
"dime",49
"dime",35
"dime",47
"pmle",20
"pmle",13
"neal",172
"dime",22
"pmle",21
"dime",42
"pmle",13
"dime",49
"pmle",24
"dime",59
"dime",48
"pgfv",8
"dime",44
"pgfv",7
"dime",44
"dime",44
"dime",48
"pmle",26
"pgfv",7
"pgfv",8
"dime",49
"dime",43
"dime",45
"pgfl",9
"dime",48
"dime",49
"dime",44
"dime",50
"dime",45
"dime",27
"dime",39
"pgfv",7
"dime",51
"dime",39
"pgfv",8
"dime",45
"dime",44
"dime",46
"dime",46
"dime",35
"dime",40
"dime",56
"dime",36
"dime",52
"pgfv",6
"pmle",27
"dime",29
"dime",42
"dime",45
"dime",33
"dime",49
"pmtr",25
"pmle",24
"pmle",24
"dime",46
"pmle",17
"pmtr",29
"pgfv",9
"pmtr",33
"dime",48
"dime",44
"remg",15
"neal",124
"onle",32
"dime",22
"pmtr",13
"dime",48
"pgfv",5
"remg",12
"pgfv",4
"dime",45
"pgfv",6
"dime",40
"pgfv",7
"neal",92
"pmle",21
"remg",10
"dime",35
"onar",11
"pmtr",25
"onle",36
"dime",43
"pmle",17
"dime",29
"pgfv",7
"dime",49
"dime",31
"pgfv",9
"pgfv",8
"pgfv",7
"pgfv",9
"remn",12
"pgfv",7
"remn",13
"dime",44
"remn",10
"pgfv",8
"onle",33
"neal",168
"dime",40
"dime",43
"dime",47
"dime",46
"dime",41.5
"dime",39
"dime",39
"onar",44
"remg",15
"dime",47
"dime",45
"onle",42
"dime",47
"dime",32
"dime",50
"dime",45
"dime",40
"dime",27
"pmle",25
"dime",44
"pgfv",8
"dime",41
"dime",50
"pgfv",7
"pgfv",8
"dime",44
"pgfv",6
"dime",51
"dime",46
"pgfv",7
"dime",44
"dime",40
"neal",182
"pgfv",7
"pgfv",7.5
"pgfv",8
"dime",45
"dime",36
"dime",46
"dime",42
"pmle",27
"dime",41
"dime",49
"pgfv",10
"pmle",30
"neal",150
"dime",44
"pgfv",8
"dime",46
"pgfv",7
"pgfv",9
"dime",47
"dime",43
"pgfv",9
"pmle",19
"dime",36
"neal",90
"pgfv",7
"dime",34
"pmle",29
"onle",38
"dime",47
"neal",113
"dime",41
"pmle",36
"pmle",28
"pmle",29
"dime",40
"dime",49
"dime",43
"dime",48
"pgfv",8
"pgfv",9
"dime",48
"dime",51
"dime",39
"dime",40
"pmle",23
"dime",45
"pgfv",10
"pgfv",8.5
"pgfv",7
"dime",44
"dime",47
"dime",45
"pgfl",15
"dime",45
"nemi",130
"pgfv",7
"pgfv",9
"remg",14
"nemi",204
"onar",19
"pgfv",8
"remn",9
"dime",50
"pgfv",7
"neal",184
"remn",9
"dime",36
"neal",112
"spsp",84
"pgfv",9
"pmle",28
"pgfv",10
"pgfv",7.5
"dime",38
"pmle",32
"dime",42
"dime",42
