"species","wgt"
"PF",9
"PF",8
"DM",40
"DM",29
"DM",46
"PF",8
"DM",41
"PF",9
"DM",40
"DM",46
"PF",8
"DM",37
"DM",39
"DM",34
"DM",48
"DM",36
"DM",35
"DM",42
"DO",52
"PF",7
"DM",22
"DM",45
"DM",42
"PP",15
"DM",41
"DM",31
"DM",40
"DM",40
"DM",45
"DM",29
"DM",42
"DM",43
"DM",41
"DM",30
"DM",43
"DM",39
"DM",41
"DM",46
"DM",40
"DM",42
"PF",4
"DM",51
"DM",44
"PE",19
"PP",15
"DM",45
"DM",39
"PF",9
"DM",42
"DM",46
"DM",45
"DM",42
"DM",36
"DM",34
"PF",7
"DM",50
"DM",45
"DM",29
"DM",46
"DM",53
"PP",16
"DM",44
"DM",40
"DM",34
"DM",44
"DM",48
"DM",44
"DM",45
"DM",51
"DM",45
"DM",49
"DM",46
"DM",41
"DM",46
"DM",37
"DM",48
"DM",42
"DM",44
"DM",40
"DM",35
"DM",37
"DM",41
"DM",33
"DM",48
"DM",36
"PF",8
"DM",40
"DM",38
"DM",53
"DM",39
"DM",49
"DM",47
"DM",41
"DM",55
"OL",21
"DM",42
"DM",43
"DM",45
"DM",44
"DM",41
"DM",45
"DM",46
"OL",21
"DM",36
"DO",41
"DM",49
"DM",44
"DM",41
"DM",42
"PF",8
"DM",40
"DM",41
"DM",39
"DM",47
"DM",42
"DM",44
"DM",47
"DM",40
"DM",45
"DM",41
"DM",48
"OT",21
"DO",48
"DM",29
"DM",39
"OL",23
"DO",31
"DM",50
"DM",37
"DM",46
"DM",39
"DM",43
"PE",20
"DM",41
"DM",42
"OT",21
"DM",36
"DM",40
"DO",44
"DS",121
"DM",35
"PF",7
"DO",48
"DM",36
"DM",47
"DM",44
"DM",40
"DS",107
"DS",115
"DS",116
"DS",137
"DM",42
"DS",126
"DM",41
"DM",40
"DM",36
"PF",6
"DS",112
"DO",39
"DS",117
"DM",46
"PF",7
"DM",40
"PF",6
"DS",120
"DS",126
"DM",37
"DM",39
"PF",7
"DS",122
"DM",40
"DM",38
"DM",44
"PF",7
"DM",40
"DM",44
"DS",113
"DM",43
"DM",40
"DM",38
"DS",118
"DM",40
"DS",132
"RM",7
"DM",39
"DM",40
"DM",44
"DM",39
"DS",115
"DM",39
"DM",45
"DM",35
"DM",38
"PF",7
"DO",45
"DM",38
"DM",42
"DM",52
"DM",37
"DM",47
"DM",43
"DS",134
"DS",118
"PF",6
"DS",110
"DS",139
"DM",43
"DM",36
"DO",41
"PF",6
"DS",120
"DS",149
"DS",121
"DO",40
"PF",7
"DM",44
"DS",116
"DM",42
"DM",37
"DS",127
"DM",38
"DS",127
"DS",138
"DS",121
"DS",114
"DM",36
"DM",41
"DS",110
"DM",48
"DM",42
"PF",7
"DM",42
"DM",41
"DM",40
"DS",114
"DM",44
"DM",40
"DS",115
"DM",37
"DM",46
"DM",37
"DM",33
"DM",38
"DM",44
"DM",38
"DM",39
"DS",116
"DM",45
"DM",40
"DM",36
"DS",135
"DM",44
"DM",38
"PE",22
"DM",38
"DM",48
"DM",43
"DM",35
"DM",43
"DM",37
"PF",7
"DM",45
"DS",132
"DS",126
"DS",135
"DS",122
"DM",45
"DM",36
"DS",150
"DS",136
"DS",122
"PF",7
"DO",42
"DM",46
"DS",117
"DM",43
"DM",40
"DM",44
"DS",122
"DM",39
"DS",136
"DM",35
"DM",41
"DM",43
"PF",8
"DM",42
"DM",40
"DS",116
"DM",46
"DM",40
"DM",37
"DS",117
"DM",38
"DS",133
"DS",141
"DM",38
"DM",33
"DM",51
"DM",33
"DM",47
"DM",49
"DM",46
"DM",36
"DS",122
"DM",39
"DM",43
"DS",144
"DS",157
"NA",218
"PF",7
"DM",52
"DM",51
"OT",24
"DM",40
"DM",41
"OT",25
"PE",25
"DS",124
"DM",39
"DM",39
"DS",114
"DM",56
"OT",22
"OT",25
"DS",132
"DS",154
"DM",50
"DS",126
"DM",44
"DM",48
"DM",36
"DS",133
"DM",44
"DM",51
"DM",46
"DM",44
"NA",197
"DM",42
"DM",39
"DS",137
"OL",35
"DM",44
"DM",35
"DM",45
"NA",228
"DM",38
"DM",39
"DM",45
"DM",51
"DM",44
"DS",146
"PF",7
"PF",8
"DS",153
"DM",53
"OT",25
"DM",43
"OT",25
"PE",28
"PE",29
"DS",131
"DM",43
"DS",141
"DS",124
"DS",137
"DS",125
"DS",69
"DM",45
"DM",43
"DM",49
"DM",47
"OT",26
"DS",152
"OT",29
"DO",57
"DS",134
"OT",35
"DS",128
"DS",146
"DS",138
"DM",43
"DM",43
"DM",46
"PF",8
"OL",38
"DM",44
"DM",49
"DM",37
"DM",45
"OT",21
"DM",43
"DM",42
