"species","weight"
"dime",45
"dime",46
"onar",18
"dime",45
"onar",22
"dime",39
"chin",8
"dime",49
"dime",43
"dime",38
"dime",29
"dime",46
"chin",9
"dime",41
"dime",43
"dime",35
"dime",38
"dime",36
"disp",109
"dime",50
"dime",42
"dime",33
"dime",43
"dime",37
"neal",104
"pgfv",14
"dime",45
"dime",38
"dime",39
"dior",40
"dime",28.5
"onar",28
"dime",39
"dime",37
"dime",28
"dime",40
"onar",20
"dime",40
"dime",37
"disp",98
"dime",32
"dime",45
"dime",32
"dime",41
"dime",36
"dime",38
"pgfv",7.5
"disp",148
"dime",40
"dime",42
"dime",33.5
"pgfv",7
"pgfv",7
"dime",37
"dime",27
"dime",41
"dime",37
"pgfv",7
"dime",48
"onar",29
"nemi",70
"nemi",64
"dime",41
"pgfv",6
"remg",9
"dime",40
"dime",45
"dime",45
"onar",35
"dime",38
"dime",44
"dime",43
"dime",44
"dime",45
"dime",19
"dime",20
"dime",47
"dime",47
"onar",20
"dime",39
"dime",44
"dime",42
"onar",20
"dime",42
"dime",45
"dime",54
"pgfv",8
"dime",45
"dime",41
"pgfv",7
"disp",86
"disp",89
"dime",42
"dime",40
"disp",92
"dime",38
"disp",110
"dime",43
"pgfv",5
"dime",49
"dime",45
"dime",40
"dime",38
"disp",130
"pgfv",7
"dime",52
"dime",42
"dime",36
"pmle",22
"dime",45
"disp",100
"dime",43
"dime",41
"remg",17
"chin",16
"dime",46
"dime",41
"pgfv",5
"dime",32
"dime",44
"dime",46
"onar",26
"disp",75
"dime",41
"dime",42
"dime",40
"dime",38
"dime",44
"dime",29
"dime",44
"pgfv",8
"dime",44
"onar",10
"dime",41
"dime",37
"pgfv",6
"pgfv",7
"dime",42
"dime",40
"dime",39
"dime",47
"pgfv",7
"dime",43
"dime",28
"pgfv",7
"dime",42
"remg",8.5
"disp",100
"remg",7.5
"pgfv",7
"pgfv",8.5
"pgfv",7
"dime",41
"dime",41
"pgfv",6.5
"pgfv",6
"pgfv",7
"dime",46
"dime",38
"onar",17
"dime",39
"pgfv",7.5
"dime",40
"pgfv",5
"neal",130
"pgfv",8
"dime",44
"onar",28
"pgfv",5
"dime",35
"dime",42
"dime",39
"remg",7
"pgfv",7.5
"dime",42
"dime",43
"pgfv",6
"pgfv",7
"pgfv",7
"dime",41
"pgfv",7.5
"dime",46
"dime",44
"dime",42
"dime",41
"dime",35
"disp",100
"dime",36
"pgfv",7.5
"disp",150
"onar",22
"dime",49
"dime",34
"dime",45
"dime",39
"dime",42
"dime",47
"pgfv",7
"pgfv",6.5
"dime",35
"chin",14
"dime",41
"pgfv",8
"disp",100
