STCODE,FORMAT,REPBLK,SUBPLOT,YEAR,MONTH,DAY,TRANSECT,STATION,TRAPTYPE,SPECIES,CAPSTATUS,LIVEDEAD,TAGLEFT,TAGRIGHT,TOENUMBER,BODYLENGTH,TAILLENGTH,WEIGHT,SEX,REPSTATUS,DEADNUMBER,NOTENUMBER1,PROCESSED,PUBIC,PREG
WE026,1,3,16,1995,2,1,4,6,S,PEMA,R,L,,3839,,,,14.0,M,TR,,,,,
WE026,1,3,16,1995,2,1,4,9,S,SOSP,N,L,,3843,,,,6.0,U,U,,,,,
WE026,1,3,16,1995,2,1,4,9,S,MIOR,R,L,,4776,,,,16.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,4,10,S,PEMA,N,L,,3842,,,,14.0,M,TR,,,,,
WE026,1,3,16,1995,2,2,1,10,S,TATO,N,L,,379,,,,88.0,F,NL,,,,,
WE026,1,3,16,1995,2,2,1,5,S,SOSP,N,D,,,,,,6.0,U,U,,,,,
WE026,1,3,16,1995,2,2,1,4,S,MIOR,N,L,,3848,,,,17.0,M,TR,,,,,
WE026,1,3,16,1995,2,2,1,4,S,TATO,N,L,,372,,,,85.0,M,TR,,,,,
WE026,1,3,16,1995,2,2,2,5,S,SOTR,N,D,,,,,,4.0,U,U,,,,,
WE026,1,3,16,1995,2,2,2,10,S,PEMA,N,L,,3849,,,,15.0,M,TR,,,,,
WE026,1,3,16,1995,2,2,2,2,S,PEMA,R,L,,3823,,,,13.0,F,NL,,,,,
WE026,1,3,16,1995,2,2,4,4,S,TATO,N,L,,374,,,,85.0,F,NL,,,,,
WE026,1,3,16,1995,2,2,4,7,S,MIOR,R,L,,,,,,,U,U,,,,,
WE026,1,3,16,1995,2,2,4,9,S,MIOR,R,L,,3824,,,,14.0,M,TR,,,,,
WE026,1,3,16,1995,2,3,1,9,S,CLCA,R,L,,4775,,,,20.0,F,P,,,,,
WE026,1,3,16,1995,2,3,4,8,S,MIOR,R,D,,3825,,,,13.0,M,TR,,,,,
WE026,1,3,16,1995,2,4,1,8,S,SOSP,N,D,,,,,,6.0,U,U,,,,,
WE026,1,3,16,1995,2,4,2,10,S,TATO,N,L,,,,,,85.0,M,TR,,,,,
WE026,1,3,16,1995,2,4,3,8,S,SOSP,N,L,,,,,,8.0,U,U,,,,,
WE026,1,3,16,1995,2,4,3,10,S,TATO,N,L,,,,,,80.0,F,NL,,,,,
WE026,1,3,16,1995,2,4,4,8,S,PEMA,N,L,,,,,,14.0,M,TR,,,,,
WE026,1,3,14,1995,1,3,1,10,S,PEMA,R,L,,4403,,,,14.0,M,TD,,,,,
WE026,1,3,14,1995,1,2,3,4,S,MIOR,R,L,,4405,,,,17.0,F,NL,,,,,
WE026,1,3,14,1995,1,2,3,7,S,TATO,R,L,681,682,,,,96.0,F,P,,,,,
WE026,1,3,14,1995,1,2,3,9,S,TATO,R,L,683,684,,,,90.0,F,NL,,,,,
WE026,1,3,14,1995,1,2,3,10,S,TATO,R,L,685,686,,,,87.0,M,TR,,,,,
WE026,1,3,14,1995,1,2,2,9,S,TATO,R,L,364,365,,,,71.0,M,TR,,,,,
WE026,1,3,14,1995,1,3,4,2,S,MIOR,R,D,,4772,,,,14.0,M,TR,,,,,
WE026,1,3,14,1995,1,4,3,7,S,MIOR,R,D,,4773,,,,18.0,F,P,,,,,
WE026,1,3,15,1995,1,2,4,10,S,TATO,R,L,56,57,,,,82.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,2,7,S,TATO,R,L,251,275,,,,77.0,F,NL,,,,,
WE026,1,3,15,1995,1,3,2,1,S,TATO,R,L,253,254,,,,84.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,1,8,S,TATO,R,L,257,258,,,,79.0,F,NL,,,,,
WE026,1,3,15,1995,1,3,1,7,S,TATO,R,L,92,93,,,,87.0,M,TR,,,,,
